WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version,WarTypeC,V5RegionC,OutcomeC,WarTypeD,OutcomeD,TotalBDeathsU,Americas,Phase1_st,Phase2_st,Phase3_st,Phase4_st,Phase1_en,Phase2_en,Phase3_en,Phase4_en,InitiatorDeaths,RecipientDeaths,InitiatorDeaths2,RecipientDeaths2,AbsDiffDeaths,RelDiffDeaths,StartYR_Norm,InitiatorDeathsImp,RecipientDeathsImp,AbsDiffDeathsImp,RelDiffDeathsImp,OutcomeE,cluster
511,First Murid War of 1830-1832,3,5,365,Russia,Murids,0,2,24,1830,10,17,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,954,31.8,31.8,-8,Murids,1,-8,3000,2000,5000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,5000,Not in Americas,1830-02-24,NA,NA,NA,1832-10-17,NA,NA,NA,2000,3000,2000,3000,-1000,0.0014245014245014246,12,2000,3000,-1000,0.0014245014245014246,Other,4
512,First Albanian Revolt of 1830-1832,3,5,640,Ottoman Empire,Albanians and Bosnians,0,6,-9,1830,7,5,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,741,24.7,24.7,-8,Albanians,1,-8,5000,10000,15000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,15000,Not in Americas,1830-06-09,NA,NA,NA,1832-07-05,NA,NA,NA,10000,5000,10000,5000,5000,0.007122507122507123,12,10000,5000,5000,0.007122507122507123,Other,4
513,First French Insurrection of 1830,3,4,220,France,Liberals,0,7,27,1830,7,29,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0.1,0.1,-8,Liberals,2,-8,200,1800,2000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,2000,Not in Americas,1830-07-27,NA,NA,NA,1830-07-29,NA,NA,NA,1800,200,1800,200,1600,0.002279202279202279,12,1800,200,1600,0.002279202279202279,Recipient Won,1
515,Belgian Independence War of 1830,3,5,210,Netherlands,Belgium,0,8,25,1830,12,19,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,115,3.83,3.83,-8,Belgians,2,-8,500,600,1100,5.1,Civil War: Local Issues,Europe,Side B wins,Civil War: Local Issues,Side B,1100,Not in Americas,1830-08-25,NA,NA,NA,1830-12-19,NA,NA,NA,600,500,600,500,100,1.4245014245014244e-4,12,600,500,100,1.4245014245014244e-4,Other,4
516,Egyptian Taka Expedition of 1831,5,6,-8,Egypt,Hadendowa Tribe,0,-9,-9,1831,-9,-9,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,91,3.03,6.03,-8,Egypt,2,-8,1500,500,2000,5.1,Regional Internal,Middle East and North Africa,Side B wins,Other,Side B,2000,Not in Americas,1831-09-09,NA,NA,NA,1831-09-09,NA,NA,NA,1500,500,1500,500,1000,0.0014245014245014246,13,1500,500,1000,0.0014245014245014246,Other,4
517,First Polish War of 1831,3,5,365,Russia,Poland,0,2,7,1831,10,18,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,252,8.4,8.4,-8,Russia,1,-8,15000,20000,35000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,35000,Not in Americas,1831-02-07,NA,NA,NA,1831-10-18,NA,NA,NA,15000,20000,15000,20000,-5000,0.007122507122507123,13,15000,20000,-5000,0.007122507122507123,Initiator Won,4
518,First Syrian War of 1831-1832,5,5,640,Ottoman Empire,Egypt,0,10,1,1831,12,27,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,447,14.9,14.9,-8,Egypt,3,-8,10000,6000,16000,5.1,Civil War: Local Issues,Middle East and North Africa,Compromise,Civil War: Local Issues,Other,16000,Not in Americas,1831-10-01,NA,NA,NA,1832-12-27,NA,NA,NA,6000,10000,6000,10000,-4000,0.005698005698005698,13,6000,10000,-4000,0.005698005698005698,Other,4
520,First Mexican War of 1832,1,4,70,Mexico,Liberals,0,1,2,1832,12,23,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,352,11.73,11.73,-8,Liberals,2,-8,1400,1000,2400,5.1,Civil War: Central Control,North America,Side B wins,Civil War: Central Control,Side B,2400,Americas,1832-01-02,NA,NA,NA,1832-12-23,NA,NA,NA,1000,1400,1000,1400,-400,5.698005698005698e-4,14,1000,1400,-400,5.698005698005698e-4,Recipient Won,1
520.3,Cabanada War of 1832-1835,2,4,140,Brazil,Pernambuco Cabanos,0,4,-9,1832,5,29,1835,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1125,37.5,37.5,-8,Cabanos,1,-8,-9,-9,3500,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,3500,Americas,1832-04-09,NA,NA,NA,1835-05-29,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,14,2200,40,2160,0.003076923076923077,Other,1
520.5,Miguelite War of 1832-1834,3,4,235,Portugal,Constitutionalists,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,45.2,-8,Constitutionalists,2,-8,12000,8100,20100,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,20100,Not in Americas,1832-07-09,NA,NA,NA,1834-05-26,NA,NA,NA,8100,12000,8100,12000,-3900,0.005555555555555556,14,8100,12000,-3900,0.005555555555555556,Recipient Won,2
521,Palestinian Anti-Conscription Revolt of 1834,5,6,-8,Egypt,Palestinians and Bedouins,0,5,19,1834,8,-9,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,87,2.9,2.9,-8,Palestinians,1,-8,2000,2000,4000,5.1,Regional Internal,Middle East and North Africa,Side A wins,Other,Side A,4000,Not in Americas,1834-05-19,NA,NA,NA,1834-08-09,NA,NA,NA,2000,2000,2000,2000,0,0,16,2000,2000,0,0,Other,4
522,First Carlist War of 1834-1840,3,4,230,Spain,Carlists,1,7,10,1834,6,2,1840,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2123,70.77,139.13,-8,Carlists,1,-8,70550,60000,130550,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,50000,Not in Americas,1834-07-10,NA,NA,NA,1840-06-02,NA,NA,NA,60000,70550,60000,70550,-10550,0.015028490028490028,16,60000,70550,-10550,0.015028490028490028,Other,2
523,Second Murid War of 1834,3,5,365,Russia,Murids,0,8,20,1834,10,27,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,68,2.27,2.27,-8,Murids,7,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Conflict continues below war level,Civil War: Local Issues,Other,1000,Not in Americas,1834-08-20,NA,NA,NA,1834-10-27,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,16,1051,2000,-949,0.001351851851851852,Other,4
525,Cabanos Revolt of 1835-1837,2,5,140,Brazil,Cabanos,0,1,6,1835,7,12,1837,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,907,30.23,30.23,-8,Cabanos,1,-8,5500,6500,12000,5.1,Civil War: Local Issues,South America,Side A wins,Civil War: Local Issues,Side A,12000,Americas,1835-01-06,NA,NA,NA,1837-07-12,NA,NA,NA,6500,5500,6500,5500,1000,0.0014245014245014246,17,6500,5500,1000,0.0014245014245014246,Other,3
525.5,Zacatecas Rebellion of 1835,1,4,70,Mexico,Zacatecas Militia,0,5,11,1835,5,14,1835,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0.13,0.13,-8,Zacatecas Militia,1,-8,-9,-9,1000,5.1,Civil War: Central Control,North America,Side A wins,Civil War: Central Control,Side A,1000,Americas,1835-05-11,NA,NA,NA,1835-05-14,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,17,1750,551,1199,0.001707977207977208,Other,1
526,Farroupilha War of 1835-1845,2,5,140,Brazil,Farrapos,0,9,19,1835,3,1,1845,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3403,113.43,113.43,-8,Farrapos,1,-8,-9,-9,20000,5.1,Civil War: Local Issues,South America,Side A wins,Civil War: Local Issues,Side A,20000,Americas,1835-09-19,NA,NA,NA,1845-03-01,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,17,820,2800,-1980,0.0028205128205128207,Other,3
527,Texan War of 1835-1836,1,5,70,Mexico,Texas,0,10,2,1835,4,20,1836,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,199,6.63,6.63,-8,Texas,2,-8,1500,700,2200,5.1,Civil War: Local Issues,North America,Side B wins,Civil War: Local Issues,Side B,2200,Americas,1835-10-02,NA,NA,NA,1836-04-20,NA,NA,NA,700,1500,700,1500,-800,0.0011396011396011395,17,700,1500,-800,0.0011396011396011395,Recipient Won,3
528,First Bosnian War of 1836,3,5,640,Ottoman Empire,Bosnians,0,-9,-9,1836,-9,-9,1836,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,91,3.03,6.03,-8,Bosnians,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1836-09-09,NA,NA,NA,1836-09-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,18,1000,6587,-5587,0.00795868945868946,Other,4
530,Third Murid War of 1836-1852,3,5,365,Russia,Murids,0,7,6,1836,4,24,1852,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5689,189.63,189.63,-8,Russia,7,-8,20000,-9,-9,5.1,Civil War: Local Issues,Europe,Conflict continues below war level,Civil War: Local Issues,Other,-9,Not in Americas,1836-07-06,NA,NA,NA,1852-04-24,NA,NA,NA,20000,-9,20000,NaN,20009,0.028502849002849003,18,20000,7150,12850,0.018304843304843305,Other,4
531,Sabinada Rebellion of 1837-1838,2,5,140,Brazil,Bahia Sabinada,0,11,7,1837,3,16,1838,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,130,4.33,4.33,-8,Bahia Sabinada,1,-8,600,1200,1800,5.1,Civil War: Local Issues,South America,Side A wins,Civil War: Local Issues,Side A,1800,Americas,1837-11-07,NA,NA,NA,1838-03-16,NA,NA,NA,1200,600,1200,600,600,8.547008547008547e-4,19,1200,600,600,8.547008547008547e-4,Other,3
532,Druze Rebellion of 1837-1838,5,6,-8,Egypt,Druzes,0,9,27,1837,8,22,1838,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,326,10.87,10.87,-8,Druzes,3,-8,15000,2000,17000,5.1,Regional Internal,Middle East and North Africa,Compromise,Other,Other,17000,Not in Americas,1837-09-27,NA,NA,NA,1838-08-22,NA,NA,NA,2000,15000,2000,15000,-13000,0.018518518518518517,19,2000,15000,-13000,0.018518518518518517,Other,4
532.5,Tampico Revolt of 1838-1839,1,4,70,Mexico,Federalists,0,5,-9,1838,6,5,1839,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,381,12.7,12.7,-8,Federalists,1,-8,900,800,1700,5.1,Civil War: Central Control,North America,Side A wins,Civil War: Central Control,Side A,1700,Americas,1838-05-09,NA,NA,NA,1839-06-05,NA,NA,NA,800,900,800,900,-100,1.4245014245014244e-4,20,800,900,-100,1.4245014245014244e-4,Other,1
532.7,Balaiada Revolt of 1838-1841,2,5,140,Brazil,Balaida Rebels,0,12,13,1838,1,19,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,757,25.23,25.23,-8,Balaida Rebels,1,-8,-9,5000,-9,5.1,Civil War: Local Issues,South America,Side A wins,Civil War: Local Issues,Side A,-9,Americas,1838-12-13,NA,NA,NA,1841-01-19,NA,NA,NA,5000,-9,5000,NaN,5009,0.0071353276353276355,20,5000,500,4500,0.00641025641025641,Other,3
533,Second Syrian War of 1839,5,5,640,Ottoman Empire,Egypt,0,6,10,1839,6,28,1839,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,19,0.63,0.63,-8,Ottoman Empire,2,-8,1500,500,2000,5.1,Civil War: Local Issues,Middle East and North Africa,Side B wins,Civil War: Local Issues,Side B,2000,Not in Americas,1839-06-10,NA,NA,NA,1839-06-28,NA,NA,NA,1500,500,1500,500,1000,0.0014245014245014246,21,1500,500,1000,0.0014245014245014246,Other,4
535,Lebanon Insurgency of 1840,5,6,-8,Egypt,Lebanese Maronites and Druze,0,5,27,1840,7,31,1840,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,65,2.17,2.17,-8,Lebanese Maronites,1,-8,-9,-9,1000,5.1,Regional Internal,Middle East and North Africa,Side A wins,Other,Side A,1000,Not in Americas,1840-05-27,NA,NA,NA,1840-07-31,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,22,200,1000,-800,0.0011396011396011395,Other,4
536,First Colombian War of 1840-1842,2,4,100,Colombia,Progressives,0,7,15,1840,5,-9,1842,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,661,22.03,22.03,-8,Progressives,1,-8,-9,-9,7100,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,7100,Americas,1840-07-15,NA,NA,NA,1842-05-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,22,1000,12000,-11000,0.01566951566951567,Other,1
537,Third Syrian War of 1840-1841,5,5,640,Ottoman Empire,Egypt,1,9,9,1840,1,17,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,129,4.3,8.6,-8,Ottoman Empire,1,-8,-9,-9,15014,5.1,Civil War: Local Issues,Middle East and North Africa,Side A wins,Civil War: Local Issues,Side A,15014,Not in Americas,1840-09-09,NA,NA,NA,1841-01-17,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,22,2655,2800,-145,2.0655270655270654e-4,Initiator Won,2
538,First Argentina War phase 2 of 1841-1842,2,4,160,Argentina,Unitarios,0,1,1,1841,12,6,1842,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,696,23.2,23.2,1527,Unitarios,1,-8,1800,4000,5800,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,5800,Americas,1841-01-01,NA,NA,NA,1842-12-06,NA,NA,NA,4000,1800,4000,1800,2200,0.0031339031339031338,23,4000,1800,2200,0.0031339031339031338,Other,1
539,Nish Uprising of 1841,3,5,640,Ottoman Empire,Nish,0,4,6,1841,4,27,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,22,0.73,0.73,-8,Nish,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1841-04-06,NA,NA,NA,1841-04-27,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,23,2000,2800,-800,0.0011396011396011395,Other,4
540,Second Bosnian War of 1841,3,5,640,Ottoman Empire,Bosnians,0,-9,-9,1841,-9,-9,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,91,3.03,6.03,-8,Bosnians,1,-8,-9,-9,1000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1000,Not in Americas,1841-09-09,NA,NA,NA,1841-09-09,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,23,500,550,-50,7.122507122507122e-5,Other,4
541,Triangular Revolt of 1841,1,4,70,Mexico,Military Rebels,0,8,31,1841,10,6,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,37,1.23,1.23,-8,Military Rebels,2,-8,700,500,1200,5.1,Civil War: Central Control,North America,Side B wins,Civil War: Central Control,Side B,1200,Americas,1841-08-31,NA,NA,NA,1841-10-06,NA,NA,NA,500,700,500,700,-200,2.849002849002849e-4,23,500,700,-200,2.849002849002849e-4,Recipient Won,1
541.2,First Maronite-Druze War of 1841,5,7,-8,Maronites,Druzes,0,10,13,1841,11,19,1841,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,37,1.23,1.23,-8,Druzes,2,-8,390,973,1363,5.1,Intercommunal,Middle East and North Africa,Side B wins,Other,Side B,1363,Not in Americas,1841-10-13,NA,NA,NA,1841-11-19,NA,NA,NA,973,390,973,390,583,8.304843304843305e-4,23,973,390,583,8.304843304843305e-4,Recipient Won,4
542,Karbala Revolt of 1842-1843,5,5,640,Ottoman Empire,Karbala Gangs,0,12,19,1842,1,13,1843,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,25,0.83,0.83,-8,Ottoman Empire,1,-8,400,3600,4000,5.1,Civil War: Local Issues,Middle East and North Africa,Side A wins,Civil War: Local Issues,Side A,4000,Not in Americas,1842-12-19,NA,NA,NA,1843-01-13,NA,NA,NA,400,3600,400,3600,-3200,0.004558404558404558,24,400,3600,-3200,0.004558404558404558,Initiator Won,4
543,Second Maronite-Druze War of 1845,5,7,-8,Maronites,Druzes,0,4,30,1845,5,31,1845,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,31,1.03,1.03,-8,Maronites,2,-8,700,350,1050,5.1,Intercommunal,Middle East and North Africa,Side B wins,Other,Side B,1050,Not in Americas,1845-04-30,NA,NA,NA,1845-05-31,NA,NA,NA,700,350,700,350,350,4.985754985754986e-4,27,700,350,350,4.985754985754986e-4,Other,4
544,Patuleia War of 1846-1847,3,4,235,Portugal,Septembrists,1,10,6,1846,6,29,1847,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,264,8.8,10.3,-8,Septembrists,1,-8,-9,-9,1000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,1000,Not in Americas,1846-10-06,NA,NA,NA,1847-06-29,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,28,1937,600,1337,0.0019045584045584046,Other,2
545,Mayan Caste War phase 1 of 1847-1848,1,6,-8,Yucatan,Mayans,0,1,15,1847,8,16,1848,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,572,19.07,19.07,-8,Mayans,4,553,2800,1500,4300,5.1,Regional Internal,North America,War transformed into another War,Other,Other,4300,Americas,1847-01-15,NA,NA,NA,1848-08-16,NA,NA,NA,1500,2800,1500,2800,-1300,0.001851851851851852,29,1500,2800,-1300,0.001851851851851852,Other,3
546,Second Carlist War of 1847-1849,3,4,230,Spain,Carlists,0,5,17,1847,4,30,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,704,23.47,23.47,-8,Carlists,1,-8,3000,7000,10000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,10000,Not in Americas,1847-05-17,NA,NA,NA,1849-04-30,NA,NA,NA,7000,3000,7000,3000,4000,0.005698005698005698,29,7000,3000,4000,0.005698005698005698,Other,1
547,Second Two Sicilies War of 1848-1849,3,4,329,Two Sicilies,Liberals,0,1,12,1848,1,29,1848,8,15,1848,5,15,1849,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,289,9.63,9.63,-8,Liberals,1,-8,1500,-9,-9,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,-9,Not in Americas,1848-01-12,1848-08-15,NA,NA,1848-01-29,1849-05-15,NA,NA,-9,1500,NaN,1500,-1509,0.0021495726495726498,30,750,1500,-750,0.0010683760683760685,Other,1
