WarNum,WarName,V5Region,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TransFrom,Initiator,Outcome,TransTo,Deaths A,Deaths B,TotalBDeaths,SideAPeakTotForces,SideAPeak TheatForces,SideBPeakTotForces,SideBPeakTheatForces,Version,WarTypeC,V5RegionC,OutcomeC,WarTypeD,OutcomeD,TotalBDeathsU,Americas,Phase1_st,Phase2_st,Phase3_st,Phase4_st,Phase1_en,Phase2_en,Phase3_en,Phase4_en,InitiatorDeaths,RecipientDeaths,InitiatorForces,RecipientForces,AbsDiffDeaths,RelDiffDeaths,StartYR_Norm,InitiatorDeaths2,RecipientDeaths2,InitiatorDeathsImp,RecipientDeathsImp,AbsDiffDeathsImp,RelDiffDeathsImp,OutcomeE
504,Greek Independence War of 1821-1828,3,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,75,-8,155000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,75,155000,-8,-83,1.1823361823361823e-4,9,-8,75,-8,75,-83,1.1823361823361823e-4,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,75,-8,155000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,75,155000,-8,-83,1.1823361823361823e-4,9,-8,75,-8,43,-51,7.264957264957265e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,75,-8,155000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,75,155000,-8,-83,1.1823361823361823e-4,9,-8,75,-8,59,-67,9.544159544159544e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,75,-8,155000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,75,155000,-8,-83,1.1823361823361823e-4,9,-8,75,15000,50000,-35000,0.04985754985754986,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,43,-8,247000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,43,247000,-8,-51,7.264957264957265e-5,9,-8,43,-8,75,-83,1.1823361823361823e-4,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,43,-8,247000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,43,247000,-8,-51,7.264957264957265e-5,9,-8,43,-8,43,-51,7.264957264957265e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,43,-8,247000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,43,247000,-8,-51,7.264957264957265e-5,9,-8,43,-8,59,-67,9.544159544159544e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,43,-8,247000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1827-10-27,NA,NA,NA,-8,43,247000,-8,-51,7.264957264957265e-5,9,-8,43,15000,50000,-35000,0.04985754985754986,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,186,6.2,-8,-8,4,4,-8,59,-8,675000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1828-04-25,NA,NA,NA,-8,59,675000,-8,-67,9.544159544159544e-5,9,-8,59,-8,75,-83,1.1823361823361823e-4,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,186,6.2,-8,-8,4,4,-8,59,-8,675000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1828-04-25,NA,NA,NA,-8,59,675000,-8,-67,9.544159544159544e-5,9,-8,59,-8,43,-51,7.264957264957265e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,186,6.2,-8,-8,4,4,-8,59,-8,675000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1828-04-25,NA,NA,NA,-8,59,675000,-8,-67,9.544159544159544e-5,9,-8,59,-8,59,-67,9.544159544159544e-5,Other
504,Greek Independence War of 1821-1828,3,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,186,6.2,-8,-8,4,4,-8,59,-8,675000,-9,-8,-8,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,-8,Not in Americas,1827-10-20,NA,NA,NA,1828-04-25,NA,NA,NA,-8,59,675000,-8,-67,9.544159544159544e-5,9,-8,59,15000,50000,-35000,0.04985754985754986,Other
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,-8,Greeks,4,4,50000,15000,65177,206000,-9,-8,25000,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,50000,Not in Americas,1821-03-25,NA,NA,NA,1828-04-25,NA,NA,NA,15000,50000,-8,206000,-35000,0.04985754985754986,3,15000,50000,-8,75,-83,1.1823361823361823e-4,Other
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,-8,Greeks,4,4,50000,15000,65177,206000,-9,-8,25000,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,50000,Not in Americas,1821-03-25,NA,NA,NA,1828-04-25,NA,NA,NA,15000,50000,-8,206000,-35000,0.04985754985754986,3,15000,50000,-8,43,-51,7.264957264957265e-5,Other
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,-8,Greeks,4,4,50000,15000,65177,206000,-9,-8,25000,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,50000,Not in Americas,1821-03-25,NA,NA,NA,1828-04-25,NA,NA,NA,15000,50000,-8,206000,-35000,0.04985754985754986,3,15000,50000,-8,59,-67,9.544159544159544e-5,Other
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,-8,Greeks,4,4,50000,15000,65177,206000,-9,-8,25000,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,50000,Not in Americas,1821-03-25,NA,NA,NA,1828-04-25,NA,NA,NA,15000,50000,-8,206000,-35000,0.04985754985754986,3,15000,50000,15000,50000,-35000,0.04985754985754986,Other
504.3,Sidon-Damascus War of 1821-1822,5,6,-8,Damascus and Aleppo,-8,Sidon,0,5,21,1821,7,30,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,430,14.33,-8,Sidon,3,-8,1200,40,1240,-8,-9,-8,16000,5.1,Regional Internal,Middle East and North Africa,Compromise,Other,Other,1240,Not in Americas,1821-05-21,NA,NA,NA,1822-07-30,NA,NA,NA,40,1200,-8,-8,-1160,0.0016524216524216523,3,40,1200,40,1200,-1160,0.0016524216524216523,Other
505,Spanish Royalists War of 1821-1823,3,4,230,Spain,-8,Royalists,0,12,4,1821,4,6,1823,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,483,16.1,-8,Royalists,4,1,-9,-9,1500,165000,-9,-8,35000,5.1,Civil War: Central Control,Europe,War transformed into another War,Civil War: Central Control,Other,1500,Not in Americas,1821-12-04,NA,NA,NA,1823-04-06,NA,NA,NA,-9,-9,-8,165000,NaN,NaN,3,NaN,NaN,1500,470,1030,0.0014672364672364672,Other
507,Egypt-Mehdi War of 1824,5,6,-8,Egypt,-8,Mehdi Army,0,3,23,1824,4,14,1824,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,22,0.73,-8,Mehdi army,1,-8,-9,-9,4000,-9,8000,-8,15000,5.1,Regional Internal,Middle East and North Africa,Side A wins,Other,Side A,4000,Not in Americas,1824-03-23,NA,NA,NA,1824-04-14,NA,NA,NA,-9,-9,-8,-9,NaN,NaN,6,NaN,NaN,-8,500,-508,7.236467236467237e-4,Other
507.5,Greater Chechnya Revolt of 1825-1826,3,5,365,Russia,-8,Chechnya,0,6,25,1825,-9,-9,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,372,12.4,-8,Chechnya,1,-8,-9,-9,1100,574000,-9,-8,5000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1100,Not in Americas,1825-06-25,NA,NA,NA,1826-09-09,NA,NA,NA,-9,-9,-8,574000,NaN,NaN,7,NaN,NaN,43000,7000,36000,0.05128205128205128,Other
508,Janissari Revolt of 1826,5,4,640,Ottoman Empire,-8,Janissaries,0,6,14,1826,6,17,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0.13,-8,Janissaries,1,-8,40,6320,6360,182000,20000,-8,8000,5.1,Civil War: Central Control,Middle East and North Africa,Side A wins,Civil War: Central Control,Side A,6360,Not in Americas,1826-06-14,NA,NA,NA,1826-06-17,NA,NA,NA,6320,40,-8,182000,6280,0.008945868945868947,8,6320,40,6320,40,6280,0.008945868945868947,Other
511,First Murid War of 1830-1832,3,5,365,Russia,-8,Murids,0,2,24,1830,10,17,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,954,31.8,-8,Murids,1,-8,3000,2000,5000,875000,60000,-8,13000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,5000,Not in Americas,1830-02-24,NA,NA,NA,1832-10-17,NA,NA,NA,2000,3000,-8,875000,-1000,0.0014245014245014246,12,2000,3000,2000,3000,-1000,0.0014245014245014246,Other
512,First Albanian Revolt of 1830-1832,3,5,640,Ottoman Empire,-8,Albanians and Bosnians,0,6,-9,1830,7,5,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,741,24.7,-8,Albanians,1,-8,5000,10000,15000,129000,16000,-8,65000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,15000,Not in Americas,1830-06-09,NA,NA,NA,1832-07-05,NA,NA,NA,10000,5000,-8,129000,5000,0.007122507122507123,12,10000,5000,10000,5000,5000,0.007122507122507123,Other
513,First French Insurrection of 1830,3,4,220,France,-8,Liberals,0,7,27,1830,7,29,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,0.1,-8,Liberals,2,-8,200,1800,2000,259000,11400,-8,20000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,2000,Not in Americas,1830-07-27,NA,NA,NA,1830-07-29,NA,NA,NA,1800,200,-8,259000,1600,0.002279202279202279,12,1800,200,1800,200,1600,0.002279202279202279,Recipient Won
515,Belgian Independence War of 1830,3,5,210,Netherlands,-8,Belgium,0,8,25,1830,12,19,1830,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,115,3.83,-8,Belgians,2,-8,500,600,1100,30000,58500,-8,10000,5.1,Civil War: Local Issues,Europe,Side B wins,Civil War: Local Issues,Side B,1100,Not in Americas,1830-08-25,NA,NA,NA,1830-12-19,NA,NA,NA,600,500,-8,30000,100,1.4245014245014244e-4,12,600,500,600,500,100,1.4245014245014244e-4,Other
516,Egyptian Taka Expedition of 1831,5,6,-8,Egypt,-8,Hadendowa Tribe,0,-9,-9,1831,-9,-9,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,181,6.03,-8,Egypt,2,-8,1500,500,2000,100000,6000,-8,-9,5.1,Regional Internal,Middle East and North Africa,Side B wins,Other,Side B,2000,Not in Americas,1831-09-09,NA,NA,NA,1831-09-09,NA,NA,NA,1500,500,100000,-8,1000,0.0014245014245014246,13,1500,500,1500,500,1000,0.0014245014245014246,Other
517,First Polish War of 1831,3,5,365,Russia,-8,Poland,0,2,7,1831,10,18,1831,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,252,8.4,-8,Russia,1,-8,15000,20000,35000,851000,250000,-8,190000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,35000,Not in Americas,1831-02-07,NA,NA,NA,1831-10-18,NA,NA,NA,15000,20000,851000,-8,-5000,0.007122507122507123,13,15000,20000,15000,20000,-5000,0.007122507122507123,Initiator Won
518,First Syrian War of 1831-1832,5,5,640,Ottoman Empire,-8,Egypt,0,10,1,1831,12,27,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,447,14.9,-8,Egypt,3,-8,10000,6000,16000,129000,53000,125000,35000,5.1,Civil War: Local Issues,Middle East and North Africa,Compromise,Civil War: Local Issues,Other,16000,Not in Americas,1831-10-01,NA,NA,NA,1832-12-27,NA,NA,NA,6000,10000,125000,129000,-4000,0.005698005698005698,13,6000,10000,6000,10000,-4000,0.005698005698005698,Other
520,First Mexican War of 1832,1,4,70,Mexico,-8,Liberals,0,1,2,1832,12,23,1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,352,11.73,-8,Liberals,2,-8,1400,1000,2400,25000,-9,-8,7000,5.1,Civil War: Central Control,North America,Side B wins,Civil War: Central Control,Side B,2400,Americas,1832-01-02,NA,NA,NA,1832-12-23,NA,NA,NA,1000,1400,-8,25000,-400,5.698005698005698e-4,14,1000,1400,1000,1400,-400,5.698005698005698e-4,Recipient Won
520.3,Cabanada War of 1832-1835,2,4,140,Brazil,-8,Pernambuco Cabanos,0,4,-9,1832,5,29,1835,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1125,37.5,-8,Cabanos,1,-8,-9,-9,3500,17000,-9,-8,2000,5.1,Civil War: Central Control,South America,Side A wins,Civil War: Central Control,Side A,3500,Americas,1832-04-09,NA,NA,NA,1835-05-29,NA,NA,NA,-9,-9,-8,17000,NaN,NaN,14,NaN,NaN,6500,30000,-23500,0.03347578347578348,Other
520.5,Miguelite War of 1832-1834,3,4,-8,-8,200,United Kingdom,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,-8,2,-8,-8,100,-8,-8,-8,155000,1000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,-8,Not in Americas,1832-07-09,NA,NA,NA,1834-05-26,NA,NA,NA,-8,100,-8,155000,-108,1.5384615384615385e-4,14,-8,100,-8,100,-108,1.5384615384615385e-4,Other
520.5,Miguelite War of 1832-1834,3,4,-8,-8,200,United Kingdom,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,-8,2,-8,-8,100,-8,-8,-8,155000,1000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,-8,Not in Americas,1832-07-09,NA,NA,NA,1834-05-26,NA,NA,NA,-8,100,-8,155000,-108,1.5384615384615385e-4,14,-8,100,8000,12000,-4000,0.005698005698005698,Other
520.5,Miguelite War of 1832-1834,3,4,235,Portugal,-8,Constitutionalists,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,Constitutionalists,2,-8,12000,8000,20100,54000,80000,-8,26000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,20100,Not in Americas,1832-07-09,NA,NA,NA,1834-05-26,NA,NA,NA,8000,12000,-8,54000,-4000,0.005698005698005698,14,8000,12000,-8,100,-108,1.5384615384615385e-4,Recipient Won
520.5,Miguelite War of 1832-1834,3,4,235,Portugal,-8,Constitutionalists,1,7,9,1832,5,26,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,678,22.6,-8,Constitutionalists,2,-8,12000,8000,20100,54000,80000,-8,26000,5.1,Civil War: Central Control,Europe,Side B wins,Civil War: Central Control,Side B,20100,Not in Americas,1832-07-09,NA,NA,NA,1834-05-26,NA,NA,NA,8000,12000,-8,54000,-4000,0.005698005698005698,14,8000,12000,8000,12000,-4000,0.005698005698005698,Recipient Won
521,Palestinian Anti-Conscription Revolt of 1834,5,6,-8,Egypt,-8,Palestinians and Bedouins,0,5,19,1834,8,-9,1834,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,87,2.9,-8,Palestinians,1,-8,2000,2000,4000,-9,6000,-8,-9,5.1,Regional Internal,Middle East and North Africa,Side A wins,Other,Side A,4000,Not in Americas,1834-05-19,NA,NA,NA,1834-08-09,NA,NA,NA,2000,2000,-8,-9,0,0,16,2000,2000,2000,2000,0,0,Other
